_id,KPI,Frequency,CalendarYear,StartDate,EndDate,Route,TripsOperatedPercent,TripsOperatedTotal,TripsNotOperatedPercent,TripsNotOperatedTotal,TripsTotal,FiscalYearName,FiscalYearStartDate,FiscalYearEndDate
1,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,10,91.38,40895,8.62,3856,44751,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
2,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,12,96.09,31327,3.91,1276,32603,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
3,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,14,92.17,35586,7.83,3024,38610,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
4,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,18,96.35,45727,3.65,1730,47457,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
5,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,19,98.97,11919,1.03,124,12043,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
6,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,1T,92.68,73381,7.32,5795,79176,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
7,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,20,93.0,25856,7.0,1945,27801,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
8,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,200,94.16,36791,5.84,2281,39072,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
9,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,21,92.8,22171,7.2,1720,23891,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
10,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,210,96.28,22411,3.72,866,23277,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
11,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,212,96.9,19083,3.1,610,19693,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
12,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,215,98.04,7403,1.96,148,7551,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
13,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,216,98.34,9328,1.66,157,9485,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
14,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,217,97.3,21766,2.7,605,22371,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
15,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,232,97.04,9213,2.96,281,9494,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
16,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,239,98.67,15167,1.33,204,15371,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
17,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,251,97.12,9234,2.88,274,9508,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
18,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,28,96.62,11985,3.38,419,12404,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
19,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,29,97.57,26275,2.43,654,26929,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
20,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,33,97.41,41023,2.59,1092,42115,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
21,Service Operated,Annual,2022,2022-07-01T00:00:00,2023-06-30T00:00:00,34,95.31,11802,4.69,581,12383,2022-23,2022-07-01T00:00:00,2023-06-30T00:00:00
