"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2023 inflation-adjusted dollars)",
"1400000US06001400100","Census Tract 4001; Alameda County; California","250,000+","***",
"1400000US06001400200","Census Tract 4002; Alameda County; California","225880","22990",
"1400000US06001400300","Census Tract 4003; Alameda County; California","157731","39561",
"1400000US06001400400","Census Tract 4004; Alameda County; California","159612","10713",
"1400000US06001400500","Census Tract 4005; Alameda County; California","96250","46206",
"1400000US06001400600","Census Tract 4006; Alameda County; California","134583","22417",
"1400000US06001400700","Census Tract 4007; Alameda County; California","111302","25324",
"1400000US06001400800","Census Tract 4008; Alameda County; California","129844","55262",
"1400000US06001400900","Census Tract 4009; Alameda County; California","111131","36910",
"1400000US06001401000","Census Tract 4010; Alameda County; California","131845","31824",
"1400000US06001401100","Census Tract 4011; Alameda County; California","95479","5600",
"1400000US06001401200","Census Tract 4012; Alameda County; California","117593","20160",
"1400000US06001401300","Census Tract 4013; Alameda County; California","105556","10035",
"1400000US06001401400","Census Tract 4014; Alameda County; California","87208","17802",
"1400000US06001401500","Census Tract 4015; Alameda County; California","62744","19332",
"1400000US06001401600","Census Tract 4016; Alameda County; California","135234","46772",
"1400000US06001401700","Census Tract 4017; Alameda County; California","146840","11242",
"1400000US06001401800","Census Tract 4018; Alameda County; California","69500","15747",
"1400000US06001402200","Census Tract 4022; Alameda County; California","111364","40352",
"1400000US06001402400","Census Tract 4024; Alameda County; California","42078","10887",
"1400000US06001402500","Census Tract 4025; Alameda County; California","-","**",
"1400000US06001402600","Census Tract 4026; Alameda County; California","48362","12163",
"1400000US06001402700","Census Tract 4027; Alameda County; California","97250","54744",
"1400000US06001402801","Census Tract 4028.01; Alameda County; California","42546","39759",
"1400000US06001402802","Census Tract 4028.02; Alameda County; California","18552","6963",
"1400000US06001402900","Census Tract 4029; Alameda County; California","41094","20050",
"1400000US06001403000","Census Tract 4030; Alameda County; California","50966","15888",
"1400000US06001403100","Census Tract 4031; Alameda County; California","154095","21132",
"1400000US06001403301","Census Tract 4033.01; Alameda County; California","35694","14523",
"1400000US06001403302","Census Tract 4033.02; Alameda County; California","142114","16542",
"1400000US06001403401","Census Tract 4034.01; Alameda County; California","71979","12852",
"1400000US06001403402","Census Tract 4034.02; Alameda County; California","91731","22032",
"1400000US06001403501","Census Tract 4035.01; Alameda County; California","123981","15849",
"1400000US06001403502","Census Tract 4035.02; Alameda County; California","95556","40537",
"1400000US06001403600","Census Tract 4036; Alameda County; California","105588","10685",
"1400000US06001403701","Census Tract 4037.01; Alameda County; California","91030","14033",
"1400000US06001403702","Census Tract 4037.02; Alameda County; California","120795","25407",
"1400000US06001403800","Census Tract 4038; Alameda County; California","153750","16680",
"1400000US06001403900","Census Tract 4039; Alameda County; California","104342","38059",
"1400000US06001404000","Census Tract 4040; Alameda County; California","104919","22690",
"1400000US06001404101","Census Tract 4041.01; Alameda County; California","123508","23366",
"1400000US06001404102","Census Tract 4041.02; Alameda County; California","108750","17477",
"1400000US06001404200","Census Tract 4042; Alameda County; California","246193","45533",
"1400000US06001404300","Census Tract 4043; Alameda County; California","215972","43963",
"1400000US06001404400","Census Tract 4044; Alameda County; California","218272","39526",
"1400000US06001404501","Census Tract 4045.01; Alameda County; California","239271","60342",
"1400000US06001404502","Census Tract 4045.02; Alameda County; California","246431","29494",
"1400000US06001404600","Census Tract 4046; Alameda County; California","226838","29844",
"1400000US06001404700","Census Tract 4047; Alameda County; California","250,000+","***",
"1400000US06001404800","Census Tract 4048; Alameda County; California","97813","60545",
"1400000US06001404900","Census Tract 4049; Alameda County; California","131921","34204",
"1400000US06001405000","Census Tract 4050; Alameda County; California","146932","18689",
"1400000US06001405100","Census Tract 4051; Alameda County; California","250,000+","***",
"1400000US06001405200","Census Tract 4052; Alameda County; California","107298","10888",
"1400000US06001405301","Census Tract 4053.01; Alameda County; California","113299","17043",
"1400000US06001405302","Census Tract 4053.02; Alameda County; California","63906","14303",
"1400000US06001405401","Census Tract 4054.01; Alameda County; California","73179","16478",
"1400000US06001405402","Census Tract 4054.02; Alameda County; California","52738","29001",
"1400000US06001405500","Census Tract 4055; Alameda County; California","82740","17794",
"1400000US06001405600","Census Tract 4056; Alameda County; California","86250","19514",
"1400000US06001405700","Census Tract 4057; Alameda County; California","77372","14374",
"1400000US06001405800","Census Tract 4058; Alameda County; California","68859","8304",
"1400000US06001405901","Census Tract 4059.01; Alameda County; California","62543","36180",
"1400000US06001405902","Census Tract 4059.02; Alameda County; California","70536","9973",
"1400000US06001406000","Census Tract 4060; Alameda County; California","58197","11706",
"1400000US06001406100","Census Tract 4061; Alameda County; California","67373","7659",
"1400000US06001406201","Census Tract 4062.01; Alameda County; California","66518","7351",
"1400000US06001406202","Census Tract 4062.02; Alameda County; California","51958","17351",
"1400000US06001406300","Census Tract 4063; Alameda County; California","59722","19364",
"1400000US06001406400","Census Tract 4064; Alameda County; California","67708","30587",
"1400000US06001406500","Census Tract 4065; Alameda County; California","71167","8310",
"1400000US06001406601","Census Tract 4066.01; Alameda County; California","72208","19762",
"1400000US06001406602","Census Tract 4066.02; Alameda County; California","73214","25066",
"1400000US06001406700","Census Tract 4067; Alameda County; California","148007","36371",
"1400000US06001406800","Census Tract 4068; Alameda County; California","122525","19244",
"1400000US06001406900","Census Tract 4069; Alameda County; California","150949","29744",
"1400000US06001407000","Census Tract 4070; Alameda County; California","81959","22594",
"1400000US06001407101","Census Tract 4071.01; Alameda County; California","65144","19604",
"1400000US06001407102","Census Tract 4071.02; Alameda County; California","85375","31086",
"1400000US06001407200","Census Tract 4072; Alameda County; California","67008","10461",
"1400000US06001407300","Census Tract 4073; Alameda County; California","82639","18612",
"1400000US06001407400","Census Tract 4074; Alameda County; California","51944","27433",
"1400000US06001407500","Census Tract 4075; Alameda County; California","49643","18325",
"1400000US06001407600","Census Tract 4076; Alameda County; California","87599","21611",
"1400000US06001407700","Census Tract 4077; Alameda County; California","123107","23336",
"1400000US06001407800","Census Tract 4078; Alameda County; California","119188","39528",
"1400000US06001407900","Census Tract 4079; Alameda County; California","115500","20438",
"1400000US06001408000","Census Tract 4080; Alameda County; California","207750","26871",
"1400000US06001408100","Census Tract 4081; Alameda County; California","182083","45335",
"1400000US06001408200","Census Tract 4082; Alameda County; California","84496","33525",
"1400000US06001408300","Census Tract 4083; Alameda County; California","123939","46782",
"1400000US06001408400","Census Tract 4084; Alameda County; California","74801","16796",
"1400000US06001408500","Census Tract 4085; Alameda County; California","87292","42563",
"1400000US06001408600","Census Tract 4086; Alameda County; California","76375","21860",
"1400000US06001408700","Census Tract 4087; Alameda County; California","46786","18517",
"1400000US06001408800","Census Tract 4088; Alameda County; California","40981","10547",
"1400000US06001408900","Census Tract 4089; Alameda County; California","45045","9173",
"1400000US06001409000","Census Tract 4090; Alameda County; California","77284","34830",
"1400000US06001409100","Census Tract 4091; Alameda County; California","72697","7411",
"1400000US06001409200","Census Tract 4092; Alameda County; California","77339","8021",
"1400000US06001409300","Census Tract 4093; Alameda County; California","66288","18016",
"1400000US06001409400","Census Tract 4094; Alameda County; California","86286","11722",
"1400000US06001409500","Census Tract 4095; Alameda County; California","46750","23113",
"1400000US06001409600","Census Tract 4096; Alameda County; California","58750","12107",
"1400000US06001409700","Census Tract 4097; Alameda County; California","40870","6631",
"1400000US06001409800","Census Tract 4098; Alameda County; California","104125","22893",
"1400000US06001409900","Census Tract 4099; Alameda County; California","190813","38706",
