"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"0400000US06","California","18331098","23377","14033454","21045","12294684","24667","1738770","14640","1254790","11346","284150","6124","109849","3684","62030","2509","27951","1486","593434","6330","383737","5678","118114","3001","50921","1850","29414","1464","11248","771","35673","2308","41883","1692","130817","2773","436223","6201","226652","3858","2832962","17462",
"0500000US06001","Alameda County, California","829369","3969","512128","4760","444577","4521","67551","2537","51006","2267","11597","1001","2957","532","1552","324","439","188","76532","2332","25008","1422","39663","1822","7427","794","1441","281","2993","422","2768","635","1938","263","11090","866","22566","1339","9719","855","192628","3418",
"1400000US06001400100","Census Tract 4001; Alameda County; California","1525","280","700","148","574","128","126","83","126","83","0","14","0","14","0","14","0","14","99","53","32","36","67","40","0","14","0","14","0","14","0","14","0","14","9","14","91","83","19","20","607","156",
"1400000US06001400200","Census Tract 4002; Alameda County; California","1065","151","328","74","271","78","57","34","20","19","26","28","11","15","0","14","0","14","190","65","13","14","155","62","22","14","0","14","0","14","0","14","16","20","16","21","22","18","0","14","493","149",
"1400000US06001400300","Census Tract 4003; Alameda County; California","3311","452","1177","287","1091","265","86","71","86","71","0","19","0","19","0","19","0","19","858","245","100","71","648","217","82","104","28","32","0","19","13","22","0","19","87","61","106","74","18","29","1052","364",
"1400000US06001400400","Census Tract 4004; Alameda County; California","2375","382","751","196","635","167","116","80","96","81","20","26","0","14","0","14","0","14","426","144","35","37","350","132","41","30","0","14","0","14","0","14","0","14","106","83","129","79","8","12","955","260",
"1400000US06001400500","Census Tract 4005; Alameda County; California","2129","286","879","214","798","204","81","80","81","80","0","14","0","14","0","14","0","14","297","97","84","66","176","88","26","27","11","20","0","14","14","15","0","14","138","70","44","29","0","14","757","179",
"1400000US06001400600","Census Tract 4006; Alameda County; California","1176","176","521","149","501","143","20","24","8","13","12","19","0","14","0","14","0","14","240","85","40","44","190","78","10","11","0","14","0","14","0","14","0","14","34","31","34","33","0","14","347","91",
"1400000US06001400700","Census Tract 4007; Alameda County; California","2707","513","958","270","783","226","175","110","120","75","55","65","0","14","0","14","0","14","530","235","156","117","317","182","57","55","0","14","0","14","62","90","26","42","88","62","103","73","44","33","896","247",
"1400000US06001400800","Census Tract 4008; Alameda County; California","2899","440","1447","440","1251","415","196","129","71","65","55","81","19","25","51","82","0","14","374","184","122","98","233","149","10","16","0","14","9","17","10","16","32","40","235","130","75","61","0","14","726","187",
"1400000US06001400900","Census Tract 4009; Alameda County; California","1866","346","941","280","821","227","120","102","57","77","63","72","0","14","0","14","0","14","275","128","209","122","38","37","19","30","0","14","9","15","19","29","18","20","109","63","30","26","0","14","474","165",
"1400000US06001401000","Census Tract 4010; Alameda County; California","3995","809","1414","563","1274","550","140","98","140","98","0","19","0","19","0","19","0","19","587","220","20","31","527","203","40","50","0","19","0","19","39","43","11","19","242","139","155","178","16","27","1531","512",
"1400000US06001401100","Census Tract 4011; Alameda County; California","3716","390","1410","466","1278","467","132","103","74","73","58","66","0","19","0","19","0","19","1087","306","291","202","741","251","16","26","31","40","8","13","0","19","33","40","203","100","92","82","35","42","856","244",
"1400000US06001401200","Census Tract 4012; Alameda County; California","2106","230","771","197","635","160","136","87","125","84","0","14","11","18","0","14","0","14","508","139","88","64","371","131","49","38","0","14","0","14","11","17","0","14","123","50","104","91","21","24","568","155",
"1400000US06001401300","Census Tract 4013; Alameda County; California","2779","363","932","321","825","321","107","75","87","68","20","32","0","14","0","14","0","14","578","226","97","68","446","196","28","46","7","20","0","14","69","79","59","68","192","98","305","139","0","14","644","194",
"1400000US06001401400","Census Tract 4014; Alameda County; California","2809","616","1557","540","1315","502","242","175","242","175","0","14","0","14","0","14","0","14","733","256","298","117","431","237","4","12","0","14","0","14","0","14","0","14","51","61","101","77","34","44","333","131",
"1400000US06001401500","Census Tract 4015; Alameda County; California","1413","350","624","258","605","259","19","19","19","19","0","14","0","14","0","14","0","14","343","129","62","64","269","123","12","17","0","14","0","14","5","7","0","14","40","36","60","41","48","49","293","119",
"1400000US06001401600","Census Tract 4016; Alameda County; California","1496","250","720","186","568","148","152","128","137","126","15","19","0","14","0","14","0","14","267","111","97","62","118","62","9","14","0","14","43","57","6","10","29","32","17","19","32","31","40","61","385","189",
"1400000US06001401700","Census Tract 4017; Alameda County; California","2291","245","1252","239","1127","232","125","79","45","46","62","69","18","41","0","14","0","14","357","118","43","37","290","108","24","36","0","14","0","14","0","14","10","15","39","31","19","25","0","14","614","178",
"1400000US06001401800","Census Tract 4018; Alameda County; California","916","145","398","108","338","96","60","47","40","39","20","30","0","14","0","14","0","14","302","105","114","57","172","94","16","14","0","14","0","14","0","14","0","14","44","33","0","14","0","14","172","82",
"1400000US06001402200","Census Tract 4022; Alameda County; California","1565","299","738","173","601","174","137","59","99","54","20","27","0","14","18","16","0","14","355","99","28","27","313","92","0","14","14","20","0","14","0","14","0","14","33","29","89","111","34","40","316","132",
"1400000US06001402400","Census Tract 4024; Alameda County; California","1294","306","602","204","496","180","106","98","106","98","0","14","0","14","0","14","0","14","361","178","213","149","122","104","14","20","0","14","12","18","0","14","0","14","77","60","63","76","0","14","191","120",
"1400000US06001402500","Census Tract 4025; Alameda County; California","779","190","449","125","398","109","51","39","51","39","0","14","0","14","0","14","0","14","239","108","130","99","83","59","14","20","0","14","12","18","0","14","0","14","42","36","0","14","22","30","27","38",
"1400000US06001402600","Census Tract 4026; Alameda County; California","611","162","323","111","299","113","24","29","24","29","0","14","0","14","0","14","0","14","50","31","3","6","39","27","8","13","0","14","0","14","6","9","0","14","0","14","43","44","43","65","146","60",
"1400000US06001402700","Census Tract 4027; Alameda County; California","1105","241","398","106","306","83","92","60","48","42","43","46","1","6","0","14","0","14","326","142","35","29","262","122","18","26","4","7","7","11","0","14","0","14","51","42","78","52","6","10","246","93",
"1400000US06001402801","Census Tract 4028.01; Alameda County; California","1552","285","481","167","400","108","81","96","81","96","0","14","0","14","0","14","0","14","516","298","71","56","390","284","23","28","32","38","0","14","0","14","0","14","62","51","64","50","12","19","417","129",
